"","Quadrat","Treatment","Canopy","Veg","dis_0","dis_1","dis_2","bl","blr","rhw","rml","rew","bll","rao14"
"1","1","Light","1","0",0.888888888888889,0,0.111111111111111,15.9555555555556,1.3218542911116,0.156082505722786,0.11183046206216,0.048892403289293,0.559555555555556,1.22589518239255
"2","2","Control","0","0",0.75,0.0833333333333333,0.166666666666667,15.5333333333333,1.53285668917474,0.142725780973489,0.103059241390853,0.0480545195661689,0.5445,1.30509113068032
"3","3","Veg","0","1",0.777777777777778,0,0.222222222222222,14.7222222222222,1.30379663227852,0.154824343524795,0.106871074907089,0.0562112814300632,0.559222222222222,1.31787795802515
"4","4","Control","0","0",0.769230769230769,0.153846153846154,0.0769230769230769,15.2461538461538,1.55359984521649,0.155871988733187,0.115354622345378,0.0493700374463453,0.567769230769231,1.26160054433355
"5","5","Veg","0","1",0.857142857142857,0,0.142857142857143,15.2928571428571,1.58283269251311,0.154443792216959,0.10966190509059,0.0527976446867666,0.535076923076923,1.31537301075321
"6","6","Light","1","0",0.8,0,0.2,15.78,1.4419983750162,0.164215302094856,0.115431139077155,0.055183775227488,0.5592,1.30075995220067
"7","7","Light+Veg","1","1",0.8,0,0.2,14.3333333333333,1.2864621161363,0.152678982029262,0.107526654362894,0.0510010560541945,0.53,1.31518718674678
"8","8","Light+Veg","1","1",0.642857142857143,0,0.357142857142857,14.1428571428571,1.37782511676764,0.145902956540504,0.101728498938923,0.0554928238248854,0.536692307692308,1.37167084920373
"9","9","Veg","0","1",1,0,0,16.6,1.4437580014899,0.154930835177804,0.116841757458878,0.0465192214658346,0.58575,1.20163382762496
"10","10","Light+Veg","1","1",0.909090909090909,0,0.0909090909090909,15.1,1.42054454441975,0.159156981493973,0.1083908060113,0.0491968209769723,0.553,1.31902190784508
"11","11","Control","0","0",0.875,0,0.125,15.6125,1.47455540062667,0.13570908509342,0.104672669812116,0.0447051128090784,0.536875,1.32802287111107
"12","12","Light+Veg","1","1",0.818181818181818,0.0909090909090909,0.0909090909090909,14.8181818181818,1.28381023562191,0.155771265487418,0.104449780253492,0.0518156128816513,0.522181818181818,1.34765267209764
"13","13","Veg","0","1",0.909090909090909,0,0.0909090909090909,15.2272727272727,1.39112919607563,0.146322993389488,0.110090444801666,0.0472176453492769,0.572818181818182,1.23997589847947
"14","14","Light","1","0",0.857142857142857,0,0.142857142857143,15.8285714285714,1.55242548536505,0.151942275468758,0.110173029841871,0.0470038826800558,0.530357142857143,1.27216285011523
"15","15","Light","1","0",0.714285714285714,0.0714285714285714,0.214285714285714,14.8357142857143,1.53257491005632,0.145728412595781,0.105888896155326,0.0495319607201119,0.552785714285714,1.27505409371707
"16","16","Veg","0","1",0.777777777777778,0,0.222222222222222,15.2777777777778,1.61845822055321,0.157842538412915,0.119377474172747,0.0500443525244634,0.578555555555555,1.23192907341254
"17","17","Light","1","0",0.545454545454545,0.0909090909090909,0.363636363636364,12.5545454545455,1.34293342062546,0.121348991913601,0.0906590257526576,0.0493169354000078,0.535181818181818,1.29658996428431
"18","18","Veg","0","1",0.875,0,0.125,14.5125,1.44045965709325,0.139848093945345,0.0992078832981218,0.047107095544449,0.5545,1.23775051210149
"19","19","Control","0","0",0.8,0,0.2,14.82,1.48427408835374,0.141370160337195,0.10654356407109,0.0476151676389532,0.5262,1.28502659869907
"20","20","Light","1","0",0.636363636363636,0.0909090909090909,0.272727272727273,13.2454545454545,1.32844868984644,0.136905348328317,0.0977709847450687,0.0489304908192095,0.515545454545455,1.29076880936765
"21","25","Control","0","0",0.777777777777778,0.111111111111111,0.111111111111111,15.5666666666667,1.4005556930094,0.143730361578689,0.107572614029466,0.047388635851442,0.532222222222222,1.33494696477361
"22","26","Light+Veg","1","1",0.692307692307692,0,0.307692307692308,13.8461538461538,1.29991474326016,0.141816189186554,0.106943783026262,0.0478069096749452,0.550846153846154,1.32955120083251
"23","27","Control","0","0",0.833333333333333,0.0833333333333333,0.0833333333333333,14.8166666666667,1.31643847576872,0.140120958782478,0.103128850508237,0.0463838924879133,0.544666666666667,1.30665943318552
"24","28","Light+Veg","1","1",0.875,0.125,0,15.975,1.50761120446065,0.14071949384083,0.100490551857603,0.0457867861903493,0.534375,1.32528753204442
