Quadrat,Treatment,Canopy,Veg,Disturbance,Interval,DateSet,DateColl,Trap_Days,Aexcavatum,Aferreum,Afidele,Ainterstitialis,Xlugubris,Alucidula,Cgregarius,Cgoryi,Cemarginatus,Pdiligendus,Csigillatus,Cfucatus,Cssodalis,Dpolitus,Dsculptilis,Dteter,Climbata,Ghonestus,Tvulpeculus,Tautumnalis,Mcoracinus,Mcyanescens,Nnitidipennis,Nterminatus,Naeneus,Sandrewsi,Sviduus,Mimperfecta,Scanadensis,Sslecontei,Simpunctatus,Pllucublandus,Pangustatus,Phypolithos,Pdecentis,Ptenuicollis,Padoxus,Patratus,Phamiltoni,Plachrymosus,Pmoestus,Pmutus,Pcoracinus,Pstygicus,Prostratus,Ptristis,Tquadristriatus,Oparmatus
1,Light,1,0,Pre-Disturbance,1,6/3/2013,6/18/2013,15,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Control,0,0,Pre-Disturbance,1,6/3/2013,6/18/2013,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Veg,0,1,Pre-Disturbance,1,6/3/2013,6/18/2013,15,0,4,2,0,1,0,0,2,1,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,6,0,1,1,1,0,2,0,0,0,0,0,7,0,0,0,0
4,Control,0,0,Pre-Disturbance,1,6/3/2013,6/18/2013,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
5,Veg,0,1,Pre-Disturbance,1,6/3/2013,6/18/2013,15,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,Light,1,0,Pre-Disturbance,1,6/3/2013,6/18/2013,15,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
7,Light+Veg,1,1,Pre-Disturbance,1,6/3/2013,6/18/2013,15,0,0,1,1,0,0,0,4,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
8,Light+Veg,1,1,Pre-Disturbance,1,6/3/2013,6/18/2013,15,0,0,0,2,0,0,0,5,5,2,2,6,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1
9,Veg,0,1,Pre-Disturbance,1,6/4/2013,6/18/2013,14,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10,Light+Veg,1,1,Pre-Disturbance,1,6/4/2013,6/18/2013,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
