Species,Length,Sex,Quadrat,Interval,Year
Cemarginatus,16,f,1,1,2013
Cemarginatus,15,f,1,1,2013
Cemarginatus,15,f,1,1,2013
Cemarginatus,15.5,f,1,1,2013
Cemarginatus,15,f,1,1,2013
Cemarginatus,14.5,f,1,1,2013
Cemarginatus,21.5,f,1,1,2013
Cgoryi,22.5,f,1,1,2013
Cgoryi,13,f,1,1,2013
Cgoryi,14.5,m,1,1,2013
Cgoryi,15.5,m,1,1,2013
Cgoryi,14,m,1,1,2013
Mcoracinus,14,m,1,1,2013
Pangustatus,7,f,3,1,2013
Pangustatus,7,f,3,1,2013
Pangustatus,7,f,3,1,2013
Pangustatus,7,f,3,1,2013
Pangustatus,8,f,3,1,2013
Pangustatus,9,f,3,1,2013
Pangustatus,14,f,3,1,2013
Pangustatus,22.0,f,3,1,2013
Pmoestus,23.0,f,3,1,2013
Pstygicus,16,f,3,1,2013
Ptenuicolle,13.5,f,3,1,2013
Sslecontei,13,f,3,1,2013
Cemarginatus,13,f,3,1,2013
Cemarginatus,14.5,f,3,1,2013
Cemarginatus,15,f,3,1,2013
Cemarginatus,15,f,3,1,2013
Cemarginatus,15.5,f,3,1,2013
Cemarginatus,16,f,3,1,2013
Cemarginatus,11,f,3,1,2013
Cemarginatus,14,f,3,1,2013
Cemarginatus,8.5,m,3,1,2013
Cemarginatus,15,m,3,1,2013
Cemarginatus,15.5,m,3,1,2013
Cfucatus,15.5,m,3,1,2013
Cfucatus,15,m,3,1,2013
Cgoryi,15.5,m,3,1,2013
Cgoryi,15.5,m,3,1,2013
Dteter,15,m,3,1,2013
Padoxus,15,m,3,1,2013
Pangustatus,14.5,m,3,1,2013
Pmoestus,14,m,3,1,2013
Pmoestus,12.5,m,3,1,2013
Pmoestus,12,m,3,1,2013
Pstygicus,12.5,m,3,1,2013
Sslecontei,12.5,m,3,1,2013
Sslecontei,15,m,3,1,2013
Cconvivus,16,m,3,1,2013
Cemarginatus,12.5,m,3,1,2013
Cemarginatus,15,f,4,1,2013
Cgoryi,12,f,4,1,2013
Cgoryi,11.5,f,4,1,2013
Cgoryi,11,f,5,1,2013
Cgoryi,22,f,5,1,2013
Cgoryi,12,f,5,1,2013
Cgoryi,13,f,5,1,2013
Cgoryi,15,m,5,1,2013
Cgoryi,12.5,m,5,1,2013
Cseximpressus,15.5,m,5,1,2013
Dteter,9.5,f,6,1,2013
Padoxus,16,f,6,1,2013
Padoxus,15,f,6,1,2013
Pangustatus,12,f,6,1,2013
Phonestus,16.5,m,6,1,2013
Pmoestus,16.5,m,6,1,2013
Pstygicus,18.5,m,6,1,2013
Sslecontei,8.0,f,7,1,2013
Cconvivus,17,f,7,1,2013
Cemarginatus,22,f,7,1,2013
